step,time_ns,xapp,adjusted_param,adjusted_value,c0_rbUtil,c0_dlThroughput,c0_AvgCqi,c0_SINR,c0_trafficLoad,c0_RSRP,c0_RSRQ,c0_ulSinr,c0_hoSuccessRate,c0_hoFailureRate,c0_hoAttempts,c1_rbUtil,c1_dlThroughput,c1_AvgCqi,c1_SINR,c1_trafficLoad,c1_RSRP,c1_RSRQ,c1_ulSinr,c1_hoSuccessRate,c1_hoFailureRate,c1_hoAttempts,c0_Param_TxPower,c0_Param_RET,c0_Param_CIO,c1_Param_TxPower,c1_Param_RET,c1_Param_CIO
10,24000000000,ES,c0_TxPower_delta,0,0.203049,2.03049,3.85714,12.08,0.5,-80.5692,-5.59137,4.17993,1,0,0,0.203049,2.03049,3.85714,11.48,0.5,-80.5692,-5.59137,4.17993,1,0,0,46,7,3,46,7,3
11,26000000000,MLB,c1_CIO_delta,0,0.203049,2.03049,3.85714,12.08,0.5,-80.5692,-5.59137,4.17993,1,0,0,0.203049,2.03049,3.85714,11.48,0.5,-80.5692,-5.59137,4.17993,1,0,0,46,7,3,46,7,3
12,28000000000,CCO,c0_RET_delta,-1,0.203049,2.03049,3.85714,12.08,0.5,-80.5692,-5.59137,4.17993,1,0,0,0.203049,2.03049,3.85714,11.48,0.5,-80.5692,-5.59137,4.17993,1,0,0,46,7,3,46,7,3
13,30000000000,CCO,c1_RET_delta,-1,0.203049,2.03049,3.85714,13.12,0.5,-80.6157,-5.595,4.17835,1,0,0,0.203049,2.03049,3.85714,11.48,0.5,-80.5692,-5.58778,4.14614,1,0,0,46,6,3,46,7,3
14,32000000000,ES,c0_TxPower_delta,0,0.203049,2.03049,3.85714,13.12,0.5,-80.6157,-5.59141,4.14455,1,0,0,0.203049,2.03049,3.85714,12.52,0.5,-80.6157,-5.59141,4.14455,1,0,0,46,6,3,46,6,3
15,34000000000,MLB,c1_CIO_delta,0,0.203049,2.03049,3.85714,13.12,0.5,-80.6157,-5.59141,4.14455,1,0,0,0.203049,2.03049,3.85714,12.52,0.5,-80.6157,-5.59141,4.14455,1,0,0,46,6,3,46,6,3
16,36000000000,ES,c1_TxPower_delta,0,0.203049,2.03049,3.85714,13.12,0.5,-80.6157,-5.59141,4.14455,1,0,0,0.203049,2.03049,3.85714,12.52,0.5,-80.6157,-5.59141,4.14455,1,0,0,46,6,3,46,6,3
17,38000000000,MLB,c0_CIO_delta,0,0.203049,2.03049,3.85714,13.12,0.5,-80.6157,-5.59141,4.14455,1,0,0,0.203049,2.03049,3.85714,12.52,0.5,-80.6157,-5.59141,4.14455,1,0,0,46,6,3,46,6,3
18,40000000000,CCO,c1_RET_delta,-1,0.203049,2.03049,3.85714,13.12,0.5,-80.6157,-5.59141,4.14455,1,0,0,0.203049,2.03049,3.85714,12.52,0.5,-80.6157,-5.59141,4.14455,1,0,0,46,6,3,46,6,3
19,42000000000,CCO,c0_RET_delta,-1,0.203049,2.03049,3.85714,13.12,0.5,-80.6157,-5.58539,4.10974,1,0,0,0.203049,2.03049,3.85714,13.4,0.5,-80.6679,-5.59748,4.14362,1,0,0,46,6,3,46,5,3
20,44000000000,ES,c1_TxPower_delta,0,0.203049,2.03049,3.85714,14,0.5,-80.6679,-5.59145,4.10881,1,0,0,0.203049,2.03049,3.85714,13.4,0.5,-80.6679,-5.59145,4.10881,1,0,0,46,5,3,46,5,3
21,46000000000,MLB,c0_CIO_delta,0,0.203049,2.03049,3.85714,14,0.5,-80.6679,-5.59145,4.10881,1,0,0,0.203049,2.03049,3.85714,13.4,0.5,-80.6679,-5.59145,4.10881,1,0,0,46,5,3,46,5,3
